Date,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5
2021-07-01,[CO | 52.0%],[CC | 23.0%],[NG | 16.0%],[CF | 8.0%],[SU | 1.0%],[CO | 56.0%],[SV | 22.0%],[CC | 11.0%],[CF | 11.0%],
2021-08-01,[CO | 64.0%],[SV | 36.0%],,,,[GD | 55.0%],[CP | 37.0%],[ZS | 8.0%],,
2021-09-01,[HE | 55.0%],[SV | 45.0%],,,,[HE | 100.0%],,,,
2021-10-01,[CF | 76.0%],[CP | 24.0%],,,,[CP | 40.0%],[CO | 39.0%],[HO | 21.0%],,
2021-11-01,[CO | 60.0%],[HE | 40.0%],,,,[CF | 60.0%],[CO | 17.0%],[HE | 14.0%],[CC | 8.0%],[HO | 1.0%]
2021-12-01,[HO | 64.0%],[CO | 26.0%],[HE | 10.0%],,,[LE | 85.0%],[HO | 10.0%],[CO | 4.0%],[ZS | 1.0%],
2022-01-01,[CC | 100.0%],,,,,[CC | 100.0%],,,,
2022-02-01,[NG | 68.0%],[CO | 32.0%],,,,[NG | 100.0%],,,,
2022-03-01,[CF | 69.0%],[SU | 22.0%],[ZW | 9.0%],,,[ZW | 69.0%],[ZC | 19.0%],[CP | 12.0%],,
2022-04-01,[NG | 100.0%],,,,,[NG | 63.0%],[CP | 22.0%],[SV | 15.0%],,
2022-05-01,[CO | 100.0%],,,,,[CO | 88.0%],[SU | 12.0%],,,
2022-06-01,[SV | 100.0%],,,,,[SV | 100.0%],,,,
2022-07-01,[LE | 49.0%],[HO | 25.0%],[CP | 20.0%],[ZC | 6.0%],,[LE | 97.0%],[HO | 3.0%],,,
2022-08-01,[CF | 99.0%],[CT | 1.0%],,,,[CT | 100.0%],,,,
2022-09-01,[CO | 54.0%],[ZS | 46.0%],,,,[ZS | 68.0%],[CO | 32.0%],,,
2022-10-01,[NG | 100.0%],,,,,[NG | 100.0%],,,,
2022-11-01,[CO | 48.0%],[CC | 36.0%],[HO | 16.0%],,,[ZS | 98.0%],[CC | 1.0%],[CO | 1.0%],,
2022-12-01,[NG | 70.0%],[CT | 30.0%],,,,[CT | 100.0%],,,,
2023-01-01,[CT | 100.0%],,,,,[CT | 100.0%],,,,
2023-02-01,[CP | 71.0%],[CO | 29.0%],,,,[CP | 81.0%],[CO | 19.0%],,,
2023-03-01,[CO | 60.0%],[SV | 40.0%],,,,[SV | 100.0%],,,,
2023-04-01,[NG | 100.0%],,,,,[NG | 100.0%],,,,
2023-05-01,[CT | 74.0%],[NG | 24.0%],[HE | 2.0%],,,[CT | 100.0%],,,,
2023-06-01,[CF | 56.0%],[HO | 38.0%],[CO | 4.0%],[GD | 2.0%],,[GD | 100.0%],,,,
2023-07-01,[NG | 100.0%],,,,,[CC | 100.0%],,,,
2023-08-01,[SV | 100.0%],,,,,[SV | 100.0%],,,,
2023-09-01,[CF | 37.0%],[HO | 33.0%],[HE | 16.0%],[NG | 14.0%],,[CF | 100.0%],,,,
2023-10-01,[CT | 100.0%],,,,,[ZC | 100.0%],,,,
2023-11-01,[NG | 100.0%],,,,,[NG | 100.0%],,,,
2023-12-01,[CF | 100.0%],,,,,[CF | 100.0%],,,,
2024-01-01,[CT | 52.0%],[SV | 48.0%],,,,[SV | 70.0%],[SU | 30.0%],,,
2024-02-01,[ZW | 94.0%],[HE | 6.0%],,,,[ZC | 96.0%],[ZW | 4.0%],,,
2024-03-01,[NG | 100.0%],,,,,[NG | 100.0%],,,,
2024-04-01,[HO | 100.0%],,,,,[GD | 100.0%],,,,
2024-05-01,[CF | 94.0%],[HO | 6.0%],,,,[CF | 100.0%],,,,
2024-06-01,[CT | 60.0%],[HO | 40.0%],,,,[ZC | 100.0%],,,,
2024-07-01,[CT | 97.0%],[ZW | 3.0%],,,,[ZW | 100.0%],,,,
2024-08-01,[HO | 95.0%],[HE | 5.0%],,,,[HO | 99.0%],[CF | 1.0%],,,
2024-09-01,[HO | 100.0%],,,,,[HO | 96.0%],[NG | 4.0%],,,
2024-10-01,[NG | 100.0%],,,,,[ZS | 52.0%],[NG | 48.0%],,,
2024-11-01,[CF | 100.0%],,,,,[CF | 100.0%],,,,
2024-12-01,[NG | 89.0%],[ZW | 11.0%],,,,[ZW | 100.0%],,,,
