Date,C1,C2,C3,C4,C5,R1,R2,R3,R4,R5
2017-10-01,[CO | 100.0%],,,,,[CO | 92.0%],[NG | 6.0%],[ZW | 2.0%],,
2017-11-01,[CO | 100.0%],,,,,[HO | 100.0%],,,,
2017-12-01,[CO | 100.0%],,,,,[CO | 74.0%],[HO | 26.0%],,,
2018-01-01,[ZW | 68.0%],[NG | 32.0%],,,,[CO | 54.0%],[CC | 35.0%],[ZW | 11.0%],,
2018-02-01,[LE | 100.0%],,,,,[LE | 100.0%],,,,
2018-03-01,[CF | 100.0%],,,,,[CF | 67.0%],[CP | 33.0%],,,
2018-04-01,[HE | 100.0%],,,,,[HE | 100.0%],,,,
2018-05-01,[CC | 94.0%],[ZW | 6.0%],,,,[CC | 100.0%],,,,
2018-06-01,[CF | 100.0%],,,,,[SU | 83.0%],[CF | 12.0%],[GD | 5.0%],,
2018-07-01,[LE | 99.0%],[SU | 1.0%],,,,[LE | 83.0%],[CP | 12.0%],[CO | 5.0%],,
2018-08-01,[SU | 58.0%],[HE | 25.0%],[ZW | 16.0%],[CP | 1.0%],,[SU | 62.0%],[CP | 26.0%],[HE | 12.0%],,
2018-09-01,[HE | 100.0%],,,,,[SU | 72.0%],[HE | 17.0%],[HO | 11.0%],,
2018-10-01,[HO | 100.0%],,,,,[HO | 100.0%],,,,
2018-11-01,[CO | 66.0%],[SU | 34.0%],,,,[HO | 90.0%],[LE | 7.0%],[CO | 3.0%],,
2018-12-01,[ZW | 71.0%],[SV | 15.0%],[SU | 9.0%],[CF | 4.0%],[ZC | 1.0%],[SU | 43.0%],[SV | 30.0%],[ZC | 25.0%],[ZW | 2.0%],
2019-01-01,[SU | 67.0%],[NG | 33.0%],,,,[SU | 100.0%],,,,
2019-02-01,[CO | 88.0%],[CC | 12.0%],,,,[NG | 100.0%],,,,
2019-03-01,[HE | 79.0%],[HO | 21.0%],,,,[HE | 63.0%],[HO | 37.0%],,,
2019-04-01,[CC | 97.0%],[LE | 3.0%],,,,[NG | 97.0%],[LE | 3.0%],,,
2019-05-01,[CT | 96.0%],[ZS | 3.0%],[HE | 1.0%],,,[ZS | 100.0%],,,,
2019-06-01,[CC | 100.0%],,,,,[LE | 80.0%],[CC | 15.0%],[CP | 5.0%],,
2019-07-01,[SU | 100.0%],,,,,[SU | 99.0%],[NG | 1.0%],,,
2019-08-01,[HE | 100.0%],,,,,[HE | 98.0%],[LE | 2.0%],,,
2019-09-01,[HE | 100.0%],,,,,[HE | 100.0%],,,,
2019-10-01,[NG | 90.0%],[CP | 9.0%],[LE | 1.0%],,,[CP | 80.0%],[LE | 20.0%],,,
2019-11-01,[CC | 100.0%],,,,,[CC | 100.0%],,,,
2019-12-01,[CF | 58.0%],[CP | 27.0%],[CT | 10.0%],[SU | 5.0%],,[CT | 100.0%],,,,
2020-01-01,[NG | 94.0%],[HE | 6.0%],,,,[NG | 100.0%],,,,
2020-02-01,[HE | 100.0%],,,,,[HE | 99.0%],[SU | 1.0%],,,
2020-03-01,[CF | 54.0%],[CT | 46.0%],,,,[CT | 53.0%],[CF | 47.0%],,,
2020-04-01,[NG | 100.0%],,,,,[HE | 57.0%],[ZW | 29.0%],[LE | 14.0%],,
2020-05-01,[SU | 100.0%],,,,,[SU | 100.0%],,,,
2020-06-01,[CO | 100.0%],,,,,[CO | 100.0%],,,,
2020-07-01,[HO | 100.0%],,,,,[HE | 100.0%],,,,
2020-08-01,[LE | 100.0%],,,,,[CT | 60.0%],[LE | 40.0%],,,
2020-09-01,[CC | 100.0%],,,,,[CC | 96.0%],[HE | 4.0%],,,
2020-10-01,[CO | 100.0%],,,,,[CO | 89.0%],[HO | 11.0%],,,
2020-11-01,[CF | 98.0%],[CO | 2.0%],,,,[CF | 100.0%],,,,
2020-12-01,[HO | 57.0%],[NG | 40.0%],[CO | 3.0%],,,[HO | 62.0%],[CF | 34.0%],[NG | 3.0%],[ZW | 1.0%],
2021-01-01,[HE | 100.0%],,,,,[HE | 81.0%],[LE | 19.0%],,,
2021-02-01,[CO | 47.0%],[CT | 39.0%],[HE | 14.0%],,,[CT | 77.0%],[CO | 23.0%],,,
2021-03-01,[HE | 87.0%],[CO | 13.0%],,,,[HE | 78.0%],[CO | 17.0%],[CP | 3.0%],[SU | 2.0%],
2021-04-01,[HO | 55.0%],[SV | 33.0%],[CO | 12.0%],,,[SV | 96.0%],[CO | 4.0%],,,
2021-05-01,[SV | 87.0%],[HE | 8.0%],[CO | 5.0%],,,[SV | 100.0%],,,,
2021-06-01,[CP | 82.0%],[HE | 18.0%],,,,[CP | 100.0%],,,,
2021-07-01,[HE | 59.0%],[LE | 39.0%],[CO | 2.0%],,,[LE | 61.0%],[CP | 19.0%],[ZS | 16.0%],[HO | 4.0%],
2021-08-01,[HE | 99.0%],[HO | 1.0%],,,,[SU | 93.0%],[CO | 4.0%],[ZC | 2.0%],[HO | 1.0%],
2021-09-01,[CO | 94.0%],[CP | 5.0%],[HO | 1.0%],,,[CP | 100.0%],,,,
2021-10-01,[CO | 77.0%],[HO | 20.0%],[SV | 2.0%],[NG | 1.0%],,[ZW | 91.0%],[CO | 9.0%],,,
2021-11-01,[SV | 100.0%],,,,,[SV | 98.0%],[CO | 2.0%],,,
2021-12-01,[CC | 100.0%],,,,,[CC | 43.0%],[CP | 37.0%],[CO | 20.0%],,
2022-01-01,[CF | 89.0%],[CO | 11.0%],,,,[CO | 81.0%],[HO | 19.0%],,,
2022-02-01,[HO | 94.0%],[CO | 6.0%],,,,[HO | 75.0%],[CO | 25.0%],,,
2022-03-01,[CO | 98.0%],[HO | 2.0%],,,,[CO | 66.0%],[CT | 34.0%],,,
2022-04-01,[CT | 67.0%],[CO | 28.0%],[HO | 5.0%],,,[CT | 98.0%],[ZS | 2.0%],,,
2022-05-01,[NG | 50.0%],[SV | 44.0%],[LE | 5.0%],[HE | 1.0%],,[ZC | 100.0%],,,,
2022-06-01,[HE | 52.0%],[CO | 38.0%],[HO | 6.0%],[CT | 2.0%],[LE | 2.0%],[ZC | 100.0%],,,,
2022-07-01,[CO | 71.0%],[CC | 29.0%],,,,[CC | 88.0%],[CO | 12.0%],,,
2022-08-01,[HO | 61.0%],[CO | 37.0%],[HE | 2.0%],,,[ZW | 100.0%],,,,
2022-09-01,[HO | 100.0%],,,,,[HO | 42.0%],[CF | 39.0%],[HE | 18.0%],[ZC | 1.0%],
2022-10-01,[CC | 58.0%],[CF | 42.0%],,,,[CC | 100.0%],,,,
2022-11-01,[NG | 97.0%],[CT | 3.0%],,,,[CT | 100.0%],,,,
2022-12-01,[SV | 94.0%],[CF | 6.0%],,,,[SV | 99.0%],[GD | 1.0%],,,
2023-01-01,[HE | 99.0%],[CO | 1.0%],,,,[ZW | 100.0%],,,,
2023-02-01,[NG | 100.0%],,,,,[NG | 100.0%],,,,
2023-03-01,[NG | 100.0%],,,,,[NG | 100.0%],,,,
2023-04-01,[SU | 65.0%],[CO | 19.0%],[HO | 15.0%],[CT | 1.0%],,[SU | 56.0%],[CO | 44.0%],,,
2023-05-01,[CO | 88.0%],[CF | 12.0%],,,,[CF | 59.0%],[CO | 41.0%],,,
2023-06-01,[NG | 100.0%],,,,,[NG | 100.0%],,,,
2023-07-01,[CT | 93.0%],[HO | 7.0%],,,,[CT | 100.0%],,,,
2023-08-01,[CT | 60.0%],[CO | 34.0%],[CF | 4.0%],[NG | 2.0%],,[NG | 71.0%],[CF | 18.0%],[CP | 11.0%],,
2023-09-01,[SV | 82.0%],[CT | 18.0%],,,,[SV | 100.0%],,,,
2023-10-01,[CF | 99.0%],[NG | 1.0%],,,,[CF | 85.0%],[CP | 15.0%],,,
2023-11-01,[ZW | 100.0%],,,,,[GD | 100.0%],,,,
2023-12-01,[CT | 99.0%],[ZW | 1.0%],,,,[NG | 89.0%],[ZW | 11.0%],,,
2024-01-01,[NG | 100.0%],,,,,[CF | 100.0%],,,,
2024-02-01,[NG | 83.0%],[CO | 9.0%],[CF | 8.0%],,,[CT | 100.0%],,,,
2024-03-01,[CT | 89.0%],[CP | 7.0%],[CO | 4.0%],,,[CP | 100.0%],,,,
2024-04-01,[NG | 99.0%],[CC | 1.0%],,,,[CC | 71.0%],[NG | 29.0%],,,
2024-05-01,[CC | 100.0%],,,,,[CC | 100.0%],,,,
2024-06-01,[CC | 100.0%],,,,,[CC | 100.0%],,,,
2024-07-01,[NG | 100.0%],,,,,[NG | 72.0%],[CC | 28.0%],,,
2024-08-01,[NG | 100.0%],,,,,[NG | 57.0%],[CT | 43.0%],,,
2024-09-01,[CC | 100.0%],,,,,[CC | 100.0%],,,,
2024-10-01,[CC | 100.0%],,,,,[CC | 100.0%],,,,
2024-11-01,[CC | 100.0%],,,,,[CC | 90.0%],[SU | 10.0%],,,
2024-12-01,[CC | 100.0%],,,,,[CC | 100.0%],,,,
